project,true_star,true_watcher,true_committer,true_community,true_pdp
122432,52,53,3,11,FALSE
1225104,9,1,5,7,TRUE
1226104,28,25,2,4,FALSE
1228195,3,2,2,2,TRUE
1229472,21,14,3,3,TRUE
123043,1,1,2,2,TRUE
1232626,2,0,1,1,FALSE
123435,316,118,15,29,FALSE
123717,14,11,2,2,FALSE
1238551,26,14,6,6,TRUE
1238714,2,1,1,1,TRUE
12425321,672,431,69,152,TRUE
12428346,0,0,2,2,FALSE
1243914,2,0,1,2,TRUE
124397,36,32,5,10,TRUE
1245083,12,5,1,1,TRUE
124558,1,1,8,9,FALSE
12463565,1,1,2,2,TRUE
1248908,3,0,1,1,FALSE
1249349,3,0,2,2,TRUE
1249585,3,1,1,1,FALSE
1250067,11,6,3,3,TRUE
1251529,21,16,3,4,TRUE
1252261,3,2,3,3,TRUE
1252735,10,9,1,1,FALSE
125379,17,18,31,45,TRUE
1254005,6,0,8,8,TRUE
125778,2,3,2,2,TRUE
1259531,6,4,1,1,TRUE
12599937,149,95,67,73,TRUE
1261176,3,1,1,1,TRUE
12653882,204,193,24,34,TRUE
1267227,3,1,1,1,TRUE
1267294,5,1,4,5,TRUE
126851,2,4,4,4,TRUE
1268579,6,4,2,3,TRUE
126928,6,5,4,6,FALSE
1270702,7,1,5,5,FALSE
12720926,1,1,1,1,TRUE
1273953,0,1,5,27,TRUE
1274388,1,0,1,1,TRUE
1275943,5,3,4,4,TRUE
1277201,2,1,1,1,TRUE
1277883,4,1,1,1,FALSE
1278529,3,0,1,2,TRUE
127948,0,0,1,1,FALSE
1281667,3,1,1,1,TRUE
12829,146,127,3,4,FALSE
1282978,3,1,1,1,TRUE
12834256,0,0,1,1,TRUE
1284172,21,12,1,2,TRUE
128499,1,1,1,1,FALSE
1285033,4,0,1,1,FALSE
1285305,70,53,4,7,FALSE
1286188,26,15,1,1,FALSE
1286333,13,11,1,1,TRUE
128778,1,1,6,7,TRUE
128899,2,2,1,1,FALSE
129180,50,48,36,40,TRUE
1294308,2,0,1,1,TRUE
12970706,3,5,1,1,TRUE
1297608,2,0,1,1,TRUE
129861,1,1,2,2,TRUE
129889,6,7,2,3,TRUE
13010019,1,1,1,1,FALSE
13011057,0,0,1,1,FALSE
13014721,0,0,1,1,FALSE
1302379,15,8,2,2,TRUE
1302762,4,1,2,2,TRUE
13033363,182,141,27,29,TRUE
1303524,16,11,13,14,FALSE
1303574,0,9,3,3,TRUE
1304027,0,0,1,1,TRUE
1304870,4,2,2,3,TRUE
1306143,63,7,1,1,TRUE
1306388,3,3,1,1,TRUE
1308049,28,18,2,2,FALSE
1308080,2,0,1,1,TRUE
13080835,0,0,1,1,FALSE
1308379,7,2,1,1,TRUE
1308739,5,2,3,3,FALSE
131063,28,35,5,10,TRUE
1310952,6,0,1,1,TRUE
1311570,4,0,1,1,TRUE
13119350,2,0,45,46,FALSE
13126926,0,0,1,1,TRUE
13132216,1,1,1,1,TRUE
13138955,4,4,1,1,TRUE
1314778,3,2,2,2,TRUE
13153670,2,1,1,1,TRUE
13154923,0,0,1,2,TRUE
13159595,0,0,1,2,FALSE
131732,35,36,15,25,TRUE
1318114,1,0,1,1,FALSE
1318116,22,11,2,2,FALSE
1318227,4,3,4,4,TRUE
132012,2,2,1,1,TRUE
1320739,21,17,2,2,TRUE
1321154,7,3,1,3,TRUE
132119,2,2,1,1,TRUE
132288,32,22,21,25,TRUE
1325831,17,8,2,2,FALSE
132740,0,1,1,1,TRUE
133126,1,2,4,4,TRUE
1331613,21,6,2,2,TRUE
133338,1,1,6,6,FALSE
1333957,6,4,1,1,TRUE
1334723,4,2,1,2,TRUE
1334868,3,0,1,1,TRUE
1335770,18,15,5,9,TRUE
1336383,2,0,1,1,TRUE
1338169,3,0,1,1,TRUE
1338471,15,12,1,1,FALSE
133895,11,13,23,23,FALSE
1339582,4,1,1,1,TRUE
13467,1,3,5,17,TRUE
1347259,11,7,9,11,TRUE
1349445,7,7,1,1,TRUE
13498930,2,0,1,2,TRUE
1350226,22,13,6,8,TRUE
1351932,26,7,1,1,TRUE
1352799,20,16,4,5,TRUE
1353686,1,1,2,2,FALSE
1356635,58,47,1,2,TRUE
13569449,0,0,1,1,FALSE
1358868,2,0,1,1,TRUE
135900,1,1,1,1,FALSE
136005,1,2,3,3,TRUE
136045,1,1,4,4,FALSE
1361275,262,237,424,445,TRUE
136162,0,1,6,6,TRUE
1362385,9,8,2,3,TRUE
13628515,0,0,3,3,TRUE
1365675,29,25,40,122,FALSE
136621,3,3,6,6,TRUE
13685,194,139,14,25,TRUE
137084,3,3,4,5,TRUE
13714173,0,0,2,25,TRUE
13720146,56,24,6,8,TRUE
1372798,4,4,2,2,TRUE
13734569,11,2,6,6,TRUE
137570,2,2,6,7,TRUE
1376108,1,1,2,2,TRUE
137712,18,18,1,2,FALSE
13775050,0,0,9,16,TRUE
137777,5,5,2,2,TRUE
1378394,2,0,3,3,TRUE
13792709,0,0,1,1,FALSE
138090,4,3,1,1,FALSE
1383367,7,4,3,3,TRUE
138629,1,1,3,3,TRUE
13895,109,102,11,13,TRUE
1389616,15,8,1,4,TRUE
139120,2,1,10,10,FALSE
1391306,5,2,2,2,TRUE
1392736,28,26,3,8,TRUE
13931585,0,0,1,1,TRUE
1395323,1,1,1,2,FALSE
1396066,23,17,7,7,TRUE
1396120,1,0,1,1,TRUE
139619,263,163,8,12,TRUE
13971432,1,0,1,1,TRUE
139781,2,2,1,1,FALSE
1400569,1,0,1,1,FALSE
14008356,0,0,3,32,TRUE
14022421,1,0,2,2,FALSE
140417,3,3,2,2,FALSE
1404175,221,74,15,19,TRUE
140496,1,1,1,1,TRUE
14052796,0,0,3,3,FALSE
140603,5,5,1,1,FALSE
14069941,0,0,1,1,TRUE
1409052,2,0,0,2,TRUE
1409468,1,0,3,3,TRUE
1414071,18,15,1,1,TRUE
141569,5,4,9,9,TRUE
141880,2,2,3,3,FALSE
14192,23,18,3,3,TRUE
142052,2,2,1,1,TRUE
14218489,0,0,4,5,TRUE
142219,1,2,3,3,TRUE
1422302,11,6,1,1,TRUE
14257013,1,0,1,2,FALSE
14257211,1,0,1,2,FALSE
142774,4,4,2,2,TRUE
1428150,42,31,2,3,TRUE
1428257,10,5,1,1,TRUE
1429806,2,1,1,1,TRUE
1430170,20,18,3,5,TRUE
143019,0,1,1,1,FALSE
14304361,0,0,3,29,TRUE
14311584,430,110,10,21,TRUE
1431197,2,0,1,1,TRUE
1435620,3,1,1,1,FALSE
14366,1,0,1,1,TRUE
1436699,22,11,2,4,TRUE
1440860,1,0,1,1,FALSE
14413991,0,0,6,6,FALSE
1442358,1,0,1,1,FALSE
144236,7,5,2,2,TRUE
1442460,4,1,2,2,FALSE
1446530,18,6,4,4,FALSE
14470,104,102,3,13,TRUE
1448751,10,8,2,3,TRUE
1452084,0,0,1,1,TRUE
145438,929,720,91,282,TRUE
1455164,14,16,7,8,TRUE
1455539,1,1,1,1,TRUE
14561245,1,0,2,3,FALSE
1458436,15,16,8,10,TRUE
1459121,34,30,6,8,TRUE
1459652,3,2,1,1,TRUE
14601558,0,0,1,1,FALSE
14611819,6,7,2,61,TRUE
146187,8,8,2,2,FALSE
146196,1,1,2,2,TRUE
14620115,1,0,2,2,FALSE
14649907,1,0,1,1,TRUE
14655563,0,0,1,1,FALSE
14662259,0,0,1,1,FALSE
1467184,0,0,5,5,FALSE
1467942,9,6,2,2,TRUE
146811,3,4,1,1,TRUE
1469005,4,3,1,1,FALSE
1469026,3,3,2,2,TRUE
1470631,5,2,1,1,FALSE
1473429,7,6,61,63,FALSE
147371,36,35,8,13,TRUE
147400,1,1,1,1,TRUE
1474117,3,0,1,1,TRUE
1474240,3,2,2,2,TRUE
1476789,30,25,2,3,TRUE
1476807,2,1,1,1,TRUE
1477749,7,4,7,9,TRUE
1478993,1,1,1,1,TRUE
147996,4,5,2,2,TRUE
1480220,3,2,1,1,TRUE
1482786,10,5,1,1,TRUE
1482794,3,2,2,2,TRUE
1482809,1,1,1,1,TRUE
1483709,13,9,1,1,TRUE
14839710,2230,1104,117,216,TRUE
1484218,0,1,2,2,FALSE
14851211,2,0,2,2,FALSE
14855653,0,0,1,2,FALSE
1485997,7,6,2,2,TRUE
1487143,13,6,1,1,TRUE
148720,22,21,11,11,FALSE
1490971,13,11,1,1,FALSE
1493240,1,1,2,2,TRUE
149364,2,2,3,3,FALSE
1495762,9,14,3,6,FALSE
1495906,3,4,4,7,TRUE
1496207,1,1,5,5,TRUE
1496332,22,21,2,2,TRUE
1496562,1,1,3,3,TRUE
1497382,1,1,5,5,TRUE
1497386,5,3,6,8,TRUE
1497479,3,3,1,1,FALSE
1497706,1,0,1,2,TRUE
149831,1,1,1,2,TRUE
149885,6,7,4,4,TRUE
149914,1,1,4,4,TRUE
14997245,2,0,0,1,TRUE
1502942,1,1,1,1,FALSE
150376,1,1,2,2,TRUE
15045250,16,1,9,14,FALSE
15058,1378,599,45,194,TRUE
1506351,2,2,1,1,TRUE
1508266,1,0,2,2,TRUE
15082901,0,0,7,7,TRUE
1510846,3,2,2,5,TRUE
151267,63,46,5,5,TRUE
1512848,1,1,1,1,TRUE
15147244,0,0,1,1,FALSE
1515603,52,39,10,51,TRUE
1516141,4,4,2,2,FALSE
151774,1,1,1,1,TRUE
15197058,0,0,1,1,FALSE
1526538,1,1,2,2,TRUE
1526740,2,2,2,2,TRUE
152824,25,24,1,3,FALSE
1528327,1,1,4,4,TRUE
152855,1,1,5,5,FALSE
1528878,0,0,3,3,TRUE
1529245,7,9,1,1,TRUE
153021,1,2,2,2,TRUE
1530321,1,1,2,2,TRUE
1530444,0,1,1,1,TRUE
1531064,1,1,1,1,TRUE
1532659,2,2,1,1,FALSE
153447,331,184,56,101,TRUE
1534698,1,1,1,1,TRUE
1536877,2,2,2,2,TRUE
153807,129,125,9,13,TRUE
1539016,6,6,4,4,TRUE
153941,4,3,1,1,TRUE
153954,12,12,4,6,TRUE
15407695,2498,1632,158,253,TRUE
1542538,1,1,2,2,TRUE
1542822,1,1,2,2,TRUE
1544559,111,106,5,9,TRUE
1545577,0,1,1,1,TRUE
154594,4,6,3,3,TRUE
15467350,0,0,2,36,TRUE
1549603,2,1,5,5,FALSE
15535191,1,0,1,1,FALSE
1554421,5,6,8,8,TRUE
1555551,3,0,1,1,TRUE
1556760,2,0,1,1,TRUE
1560739,8,7,4,4,TRUE
156359,45,43,3,4,TRUE
1565544,1,1,1,1,FALSE
1568002,5,3,5,5,FALSE
1568558,2,2,2,2,FALSE
1569247,1,1,1,1,TRUE
1570860,12,14,12,15,TRUE
1574646,3,2,2,2,TRUE
157531,61,58,1,1,TRUE
15753541,1,1,3,3,FALSE
1580476,18,16,9,9,TRUE
15805538,0,0,1,1,FALSE
1581250,1,1,4,4,TRUE
15827094,1,0,2,2,FALSE
15834646,1,0,2,2,FALSE
1585475,4,5,1,2,FALSE
1587434,1,1,2,2,FALSE
158840,1,1,2,2,TRUE
1589085,2,2,1,1,TRUE
15893448,1,0,1,1,FALSE
1591903,1,0,3,3,TRUE
1592145,1,1,4,4,TRUE
1592258,1,1,2,2,FALSE
1592677,1,1,3,3,TRUE
1593694,2,0,1,1,TRUE
1593697,2,0,1,1,TRUE
1594635,1,1,1,1,TRUE
1595598,2,1,1,1,TRUE
15992574,0,0,5,5,FALSE
160195,192,160,2,6,TRUE
160337,89,110,5,7,TRUE
1603692,10,6,1,1,TRUE
160401,5,4,2,2,TRUE
1608059,1,1,2,3,TRUE
160958,43,45,5,12,TRUE
161206,3,5,5,5,TRUE
161398,35,31,9,14,TRUE
16156924,3,2,5,6,TRUE
1616334,2,2,1,1,TRUE
1616376,2,2,1,1,TRUE
16171226,0,0,14,14,TRUE
161726,2,2,3,3,FALSE
16199178,1,0,1,1,FALSE
1620344,1,1,1,1,TRUE
1620592,44,25,8,12,TRUE
1622407,1,2,2,2,TRUE
162298,4,4,3,4,TRUE
1623430,1,1,1,1,FALSE
1623484,2,2,1,1,TRUE
1629311,2,2,11,11,TRUE
1634242,15,14,1,3,TRUE
163517,1,1,1,2,TRUE
163636,29,32,1,2,TRUE
16363701,8,2,1,2,TRUE
16374421,1,0,1,1,FALSE
163747,0,1,1,1,TRUE
1637809,1,1,5,5,TRUE
163916,0,1,1,1,TRUE
164108,244,199,11,18,TRUE
164185,3,4,2,2,TRUE
16460486,1,0,1,1,TRUE
1647889,1,1,2,2,FALSE
164809,5,5,1,2,FALSE
16491249,0,0,4,4,TRUE
165237,1,2,5,6,TRUE
16597285,0,0,2,2,FALSE
1660069,2,3,9,9,TRUE
166079,1,1,2,2,TRUE
166255,27,30,4,7,TRUE
1662794,4,4,1,1,TRUE
16692835,0,0,4,4,FALSE
1671822,6,4,1,1,FALSE
16723211,2,0,1,1,FALSE
16778568,1,0,1,1,FALSE
168022,4,4,3,5,TRUE
168190,0,35,5,5,FALSE
1685821,0,0,1,1,TRUE
168927,21,23,1,5,TRUE
16932097,0,0,1,32,TRUE
